Movie,Cast,Release_year
Khandani Gandageer,"Arbaz Khan, Shahid Khan, Jahangir Khan, Sahiba Noor, Jiya Ali, Imran Khatak",2019
Chhalawa,"Azfar Rehman, Mehwish Hayat, Zara Noor Abbas, Asad Siddiqui, Mehmood Aslam",2019
Wrong No. 2,"Sami Khan, Neelam Munir, Sana Fakhar, Jawed Sheikh, Shafqat Cheema
Mahmood Aslam",2019
Sharikay Di Aag,"Moamar Rana, Khushboo, Haidar Sultan, Jahangir Khan, Shahid, Nawaz Khan, Raheela Agha, Achhi Khan",2019
Kataksha,"Saleem Meraj, Kiran Tabeir, Nimra Shahid Kasim Khan, Mubeen Gabool",2019
Baaji,"Osman Khalid Butt, Amna Ilyas, Mohsin Abbas Haider, Ali Kazmi, Meera, Nayyar Ejaz, Aamir Qureshi",2019
Ready Steady No,"Amna Ilyas, Faisal Saif, Zain Afzal, Ahmad Bilal, Ismail Tara, Salman Shahid, Nargis Rasheed",2019
Sirf Tum Hi To Ho,"Danish Taimoor, Qurat ul Ain, Mathira, Saim Ali, Sangeeta",2019
Tevar,"Sukynah Khan, Taqi Ahmed, Mathira,Sharique Mehmood, Akbar Subhani",2019
Heer Maan Ja,"Ali Rehman Khan, Hareem Farooq, Faizan Shaikh, Abid Ali",2019
Parey Hut Love,"Sheheryar Munawar, Maya Ali, Ahmad Ali Butt, Zara Noor Abbas",2019
Superstar,"Bilal Ashraf, Mahira Khan, Nadeem Baig 
Jawed Sheikh",2019
Daal Chaawal,"Shafqat Cheema, Salman Shahid, Momina Iqbal, Ahmed Sufyan",2019
Durj,"Shamoon Abbasi, Sherry Shah, Maira Khan, Nouman Javaid, Dodi Khan, Hafeez Ali",2019
24 Hours,"Muqeet Khan, Fawad Aslam Khan, Asma Nawab, Ali Bhatti, Arshad Khan",2019
Kaaf Kangana,"Sami Khan, Eshal Fayyaz, Ayesha Omer, Fiza Ali, Naseem Vicky",2019
Talash,"Noaman Sami, Faria Hassan, Zeb Ahmad, Saleem Mairaj, Adnan Shah Tipu, Mustafa Qureshi",2019
Betabiyan,"Babar Ali, Hiba Ali, Syed Arez, Jawed Sheikh 
Saima Baloch",2019
Sacch,"Asad Zaman Khan, Humayoun Ashraf, Elysée Sheikh, Jawed Sheikh, Arisha Razi",2019
Bau Jee,"Minhal, Amjad Rana, Zulfi Ali, Shazaib Mirza, Tayyab Ali, Ejaz Baig, Babr Jutt, Lilah Khan",2019
Filmsaaz,"Sultan Ahmed, Lala Anwar, Naseer Rind",2019
Too Much,"Arbaaz Khan, Jahangir Khan, Asif Khan, Diya Butt, Naseem Hassan, Feroza Khan",2020
Balochabad,"Sarfraz Muhammad, Allah bux Aleef, Ahsan Danish, Anita Jaleel",2020
Showgirls of Pakistan,"Afreen Khan, Reema Jaan, Uzma Khan, Saad Khan, Nadia Khan",2020
Record,"Serha Asghar, Inayat Khan, Maharukh Rizvi, Faisal Akhtar Asad Siddiqi",2020
Intezaar,"Raza Ali Abid, Khalid Ahmed, Samina Ahmed, Kaif Ghaznavi, Adnan Jaffar, Sakina Samo",2020
Khauff - The Film,Shamoon Abbasi,2021
Khel Khel Mein,"Sajal Ali, Bilal Abbas Khan, Sheheryar Munawar",2021
Gawah Rehna,"Ghana Ali, Emmad Irfani, Qavi Khan",2021
Future Imperfect,"Aijaz Aslam, Mashal Khan, Khalid Anam",2021
London Nahi Jaunga,"Humayun Saeed, Mehwish Hayat, Sohail Ahmed, Kubra Khan",2022
Quaid-e-Azam Zindabad,"Fahad Mustafa, Javed Sheikh, Mahira Khan",2022
Dum Mastam,"Imran Ashraf, Amar Khan",2022
Parde mein rehne do,"Hania Aamir, Ali Rehman Khan, Jawed Sheikh",2022
The Legend of Maula Jatt,"Fawad Khan, Hamza Ali Abbasi, Mahira Khan, Humaima Malick",2022
Kamli,"Saba Qamar, Sania Saeed",2022
Ghabrana Nahi Hai,"Saba Qamar, Zahid Ahmed, Nayyar Ejaz",2022
Neelofar,"Fawad Khan, Mahira Khan, Madiha Imam, Faisal Quershi, Samiya Mumtaz, Gohar Rasheed, Rashid Farooqi",2022
Lafangey,"Sami Khan, Saleem Meraj, Mani",2022
Carma - The Movie,"Adnan Siddiqui, Osama Tahir, Zhalay Sarhadi, Naveen Waqar",2022
Tich Button,"Farhan Saeed, Iman Ali, Sonya Hussyn, Feroze Khan",2022
Chakkar,"Ahsan Khan, Yasir Nawaz, Jawed Sheikh, Neelam Muneer",2022
Our sed lyfe,"Hania Kashif, Reyyan Ahmed",
