Movie,Cast,Release_year
Sunheray Sapne,"Musarrat Nazir, Aslam Pervaiz, Talish, Rukhsana",1961
Surraiya,"Nayyar Sultana, Habib, Asad, Bokhari, Rukhsana",1961
Taj Aur Talwar,"Ratan Kumar, Laila, Saqi, Kafira",1961
Teen Phool,"Nayyar Sultana, Allauddin, Aslam Pervaiz, Husna",1961
Tum Na Mano,"Habib, Sabira Sultana, Bahar, Naina",1961
Zamana Kya Kahega,"Kamal, Shamim Ara, Rukhsana, Lehri",1961
Zamin Ka Chand,"Shamim Ara, Aslam Pervaiz, Mazhar Shah, Kafira",1961
Aanchal,"Shamim Ara, Darpan, Talish, Saba",1962
Ajnabi,"Bahar, Ejaz Durrani, Diljit, Asad Bokhari",1962
Aulad,"Habib, Nayyar Sultana, Rehana, Waheed Murad",1962
Awaz De Kahan Hai,"Yasmeen, Akmal, Talish, Ghulam Mohammed",1962
Azra,"Neelo, Ejaz Durrani, Nazar, Allauddin",1962
Banjaran,"Neelo, Kamal, Allauddin, Azad, Ibrahim Nafees",1962
Barsat Main,"Neelo, Ejaz Durrani, Nayyar Sultana, Aslam Pervaiz, Allauddin",1962
Beta,"Husna, Aslam Pervaiz, Liala, Rajni",1962
Bulbul-e-Baghdad,"Laila, Kamal, Nazar, Nasira, Panna",1962
Chanda,"Sultana Zaman, Shabnam, Rahman, Subhash Dutta",1962
Chiragh Jalta Raha,"Zeba, Arif, Deeba, Mohammad Ali, K. Irani, Shakir",1962
Dal Me Kala,"Bahar, Kamal, Mohammad Ali, Faizi, Adeeb, Nirala",1962
Darwaza,"Neelo, Yousuf Khan, Laila, Nazar, Talish",1962
Dosheeza,"Neelo, Ejaz Durrani, Deeba, Lehri, Aslam Pervaiz",1962
Eik Manzil Do Rahain,"Musarrat Nazir, Husna, Aslam Pervaiz, Saqi, Panna",1962
Ghunghat,"Nayyar Sultana, Santosh Kumar, Talish, Laila, Neelo",1962
Husn-o-Ishq,"Neelo, Ratan Kumar, Ragni, Himaliyawalla",1962
Inqilaab,"Jamila, Habib, Shamim Ara, Rashdi",1962
Mehboob,"Shamim Ara, Yousuf Khan, Habib, Rani",1962
Mehtaab,"Nayyar Sultana, Habib, Zeenat, Asad, Allauddin",1962
Mera Kya Qusoor,"Shamim Ara, Asad Bokhari, Master Mushtaq, Zeenat",1962
Mauseeqar,"Sabiha Khanum, Santosh Kumar, Meena Shorey",1962
Qaidi,"Shamim Ara, Darpan, Talish, Nazar",1962
Shaheed,"Musarrat Nazir, Ejaz Durrani, Allauddin, Talish",1962
Shake Hand,"Nayyar Sultana, Allauddin, Talish",1962
Sukh Ka Sapna,"Laila, Yusuf, Yasmeen, Talish",1962
Suraj Mukhi,"Bahar, Aslam Pervaiz, Rukhsana, Asif Jah",1962
Susraal,"Laila, Rukhsana, Yousuf Khan, Allauddin",1962
Unchay Mehal,"Neelo, Husna, Aslam Pervaiz, Emmy, Diljit",1962
Zarina,"Husna, Yousuf Khan, Habib, Nazar",1962
Aurat Eik Kahani,"Nayyar Sultana, Ejaz Durrani, Husna, Saqi, Rajni",1963
Baarat,"Neelo, Ratan Kumar, Naghma, Nazar, Zeenat",1963
Baghawat,"Shimmi, Sudhir, Nayyar Sultana, Akmal, Talish",1963
Baji,"Nayyar Sultana, Darpan, Zeba, Talish, Amy Minwala",1963
Damaad,"Laila, Asad, Zeenat, Naghma",1963
Daaman,"Sabiha Khanum, Santosh, Waheed Murad, Neelo, Talish",1963
Dhoop Chaon,"Bahar, Ejaz Durrani, Sumita, Nasira",1963
Dilne Tujhe Maan Liya,"Zeba, Kemal, Nirala, Mohammad Ali",1963
Dulhan,"Nayyar Sultana, Darpan, Shamim Ara, Nabila, Habib",1963
Ek Tera Sahara,"Shamim Ara, Darpan, Rani, Jafferey",1963
Fanoos,"Komea, Salman, Ilyas, Azad, Bibbo",1963
Ghazala,"Shamim Ara, Habib, Nasira, Nazar",1963
Hamen Bhi Jeene Do,"Hanif, Nazi, Kamal Irani, Qamar",1963
Ishq Per Zor Nahin,"Jamila, Aslam Pervaiz, Ilyas, Talish",1963
Kala Aadmi,"Habib, Neelo, Rukhsana, Rajni",1963
Kala Pani,"Shamim Ara, Yasmeen, Sudhir, Habib",1963
Kancher Deyal,"Khan Ata, Anwar Hossain, Sumita Devi",1963
Khoon Ki Piyas,"Laila, Yusuf, Rukhsana, Diljit",1963
Maa Beti,"Zeba, Darpan, Lehri, Agha Jan, Sethi",1963
Maa Beti,"Yasmeen, Yusuf, Rukhsana, Meena Shorey, Allauddin",1963
Maa Ke Ansoo,"Nayyar Sultana, Habib, Zeenat, Naghma",1963
Main Ne Kya Jurm Kiya,"Laila, Habib, Ajmal, Saqi, Aslam Pervaiz",1963
Marvi,"Nighat, Fazlani, Bibbo, Charlie",1963
Mr. X,"Mohammad Ali, Nirala, Nasira, Adeeb",1963
Nach Ghar,"Shabnam, Golam Mustafa, Nasima Khan",1963
Nateeja,"Shamim Ara, Yusuf, Saba, Naeem Hashmi",1963
Neelam,"Rukhsana, Sudhir, Asad Bokhari, Naghma, Zeenat",1963
Preet Na Jane Reet,"Shabnam, Khalil, Golam Mustafa, Surraiya",1963
Qanoon,"Shamim Ara, Allauddin, Aslam Pervaiz, Nazar",1963
Qatal Ke Baad,"Neelo, Kamal, Lehri, Aslam Pervaiz, Mohammad Ali",1963
Sazish,"Shamim Ara, Habib, Makrukh, Naghma",1963
Seema,"Shamim Ara, Santosh, Panna, Sultan",1963
Shararat,"Bahar, Mohammad Ali, Laila, Asad Jafferey",1963
Shikwah,"Sabiha Khanum, Darpan, Neelo, Aslam Pervaiz",1963
Suhaag,"Bahar, Habib, Nighat, Majid, Surraiya Bano",1963
Sumera,"Zeba, Ratan Kumar, Naghma, Allauddin",1963
Talash,"Shabnam, Rahman, Shawkat Akbar, Rani Sarkar, Subhash Dutta",1963
Tangay Wala,"Shamim Ara, Darpan, Lehri, Talish",1963
Teen Aur Teen,"Meena Shorey, Habib, Lehri, Asad Jaffery",1963
Teer Andaz,"Rukhsana, Sultan, Saba, Sahira",1963
Yahudi Ki Ladki,"Nayyar Sultana, Darpan, Talish, Meena Shorey",1963
Aashiana,"Zeba, Syed Kamal, Asha, Habib, Rukhsana",1964
Andhi Muhabbat,"Laila, Akmal Khan, Mina, Talish",1964
Aurat Ka Pyar,"Rani, Allauddin, Mohammad Ali, Nasira",1964
Azad,"Bahar, Santosh, Asad, Ajmal",1964
Baap Ka Baap,"Shamim Ara, Darpan, Nazar, Ilyas",1964
Baghi Sipahi,"Zeba, Sudhir, Naghma, Asad Bokhari",1964
Bandhan,"Chitra, Mustafa, Rosy, Anwar Hussain",1964
Bees Din,"Rani, Mohammad Ali, Kamal Irani, Adeeb",1964
Beti,"Neelo, Ejaz Durrani, Bibi Guddo, Nasira",1964
Chingari,"Shamim Ara, Santosh, Deeba, Ejaz Durrani",1964
Choti Ammi,"Rani, Ratan Kumar, Kumar, Lehri",1964
Choti Behan,"Rani, Syed Kamal, Mohammad Ali, Nirala",1964
Deewana,"Sabiha Khanum, Ejaz Durrani, Deeba, Habib",1964
